soc_code,isco_code,isco_title
11-1011,1112,Senior government officials
11-1011,1113,Traditional chiefs and heads of villages
11-1011,1120,Managing directors and chief executives
11-1021,1112,Senior government officials
11-1021,1114,Senior officials of special-interest organizations
11-1021,1120,Managing directors and chief executives
11-1021,1343,Aged care services managers
11-1021,1346,Financial and insurance services branch managers
11-1021,1420,Retail and wholesale trade managers
11-1021,5221,Shopkeepers
11-1031,1111,Legislators
11-1031,1113,Traditional chiefs and heads of villages
11-2011,1222,Advertising and public relations managers
11-2021,1221,Sales and marketing managers
11-2022,1221,Sales and marketing managers
11-2031,1114,Senior officials of special-interest organizations
11-2031,1219,Business services and administration managers not elsewhere classified
11-2031,1222,Advertising and public relations managers
11-3011,1219,Business services and administration managers not elsewhere classified
11-3021,1330,Information and communications technology service managers
11-3031,1211,Finance managers
11-3031,1346,Financial and insurance services branch managers
11-3051,1321,Manufacturing managers
11-3061,1219,Business services and administration managers not elsewhere classified
11-3071,1324,"Supply, distribution and related managers"
11-3111,1212,Human resource managers
11-3121,1212,Human resource managers
11-3131,1212,Human resource managers
11-9013,1311,Agricultural and forestry production managers
11-9013,1312,Aquaculture and fisheries production managers
11-9021,1323,Construction managers
11-9021,7111,House builders
11-9031,1341,Child care services managers
11-9032,1345,Education managers
11-9033,1345,Education managers
11-9039,1345,Education managers
11-9041,1223,Research and development managers
11-9051,1412,Restaurant managers
11-9061,1219,Business services and administration managers not elsewhere classified
11-9071,1431,"Sports, recreation and cultural centre managers"
11-9081,1411,Hotel managers
11-9111,1342,Health services managers
11-9111,1343,Aged care services managers
11-9121,1223,Research and development managers
11-9131,1219,Business services and administration managers not elsewhere classified
11-9141,3334,Real estate agents and property managers
11-9151,1344,Social welfare managers
11-9161,1112,Senior government officials
11-9199,1114,Senior officials of special-interest organizations
11-9199,1213,Policy and planning managers
11-9199,1219,Business services and administration managers not elsewhere classified
11-9199,1322,Mining managers
11-9199,1349,Professional services managers not elsewhere classified
11-9199,1431,"Sports, recreation and cultural centre managers"
11-9199,1439,Services managers not elsewhere classified
13-1011,3339,Business services agents not elsewhere classified
13-1021,3323,Buyers
13-1022,3323,Buyers
13-1023,3323,Buyers
13-1031,3315,Valuers and loss assessors
13-1032,3315,Valuers and loss assessors
13-1041,3351,Customs and border inspectors
13-1041,3353,Government social benefits officials
13-1041,3354,Government licensing officials
13-1051,3339,Business services agents not elsewhere classified
13-1071,2423,Personnel and careers professionals
13-1071,3333,Employment agents and contractors
13-1074,3333,Employment agents and contractors
13-1075,2423,Personnel and careers professionals
13-1081,2421,Management and organization analysts
13-1111,2421,Management and organization analysts
13-1121,3332,Conference and event planners
13-1131,4214,Debt-collectors and related workers
13-1141,2423,Personnel and careers professionals
13-1151,2356,Information technology trainers
13-1151,2424,Training and staff development professionals
13-1161,2431,Advertising and marketing professionals
13-1199,2422,Policy administration professionals
13-1199,3339,Business services agents not elsewhere classified
13-2011,2411,Accountants
13-2021,3315,Valuers and loss assessors
13-2031,2411,Accountants
13-2041,2413,Financial analysts
13-2051,2412,Financial and investment advisers
13-2051,2413,Financial analysts
13-2052,2412,Financial and investment advisers
13-2053,3321,Insurance representatives
13-2061,2413,Financial analysts
13-2071,3312,Credit and loans officers
13-2072,3312,Credit and loans officers
13-2081,3352,Government tax and excise officials
13-2082,2411,Accountants
13-2099,3339,Business services agents not elsewhere classified
15-1111,2511,Systems analysts
15-1121,2511,Systems analysts
15-1122,2529,Database and network professionals not elsewhere classified
15-1131,2514,Applications programmers
15-1132,2512,Software developers
15-1133,2512,Software developers
15-1134,2513,Web and multimedia developers
15-1134,3514,Web technicians
15-1141,2521,Database designers and administrators
15-1142,2522,Systems administrators
15-1142,3514,Web technicians
15-1143,2523,Computer network professionals
15-1151,3512,Information and communications technology user support technicians
15-1152,3513,Computer network and systems technicians
15-1199,2519,Software and applications developers and analysts not elsewhere classified
15-1199,2529,Database and network professionals not elsewhere classified
15-2011,2120,"Mathematicians, actuaries and statisticians"
15-2021,2120,"Mathematicians, actuaries and statisticians"
15-2031,2120,"Mathematicians, actuaries and statisticians"
15-2041,2120,"Mathematicians, actuaries and statisticians"
15-2091,3314,"Statistical, mathematical and related associate professionals"
15-2099,3314,"Statistical, mathematical and related associate professionals"
17-1011,2161,Building architects
17-1012,2162,Landscape architects
17-1021,2165,Cartographers and surveyors
17-1022,2165,Cartographers and surveyors
17-2011,2144,Mechanical engineers
17-2021,2144,Mechanical engineers
17-2031,2149,Engineering professionals not elsewhere classified
17-2041,2145,Chemical engineers
17-2051,2142,Civil engineers
17-2061,2152,Electronics engineers
17-2071,2151,Electrical engineers
17-2072,2153,Telecommunications engineers
17-2072,2152,Electronics engineers
17-2081,2143,Environmental engineers
17-2111,2149,Engineering professionals not elsewhere classified
17-2112,2141,Industrial and production engineers
17-2121,2144,Mechanical engineers
17-2131,2146,"Mining engineers, metallurgists and related professionals"
17-2131,2149,Engineering professionals not elsewhere classified
17-2141,2144,Mechanical engineers
17-2151,2146,"Mining engineers, metallurgists and related professionals"
17-2161,2149,Engineering professionals not elsewhere classified
17-2171,2146,"Mining engineers, metallurgists and related professionals"
17-2199,2149,Engineering professionals not elsewhere classified
17-3011,3118,Draughtspersons
17-3012,3118,Draughtspersons
17-3013,3118,Draughtspersons
17-3019,3118,Draughtspersons
17-3021,3115,Mechanical engineering technicians
17-3022,3112,Civil engineering technicians
17-3023,3113,Electrical engineering technicians
17-3023,3114,Electronics engineering technicians
17-3023,3155,Air traffic safety electronics technicians
17-3023,3522,Telecommunications engineering technicians
17-3024,3113,Electrical engineering technicians
17-3024,3115,Mechanical engineering technicians
17-3025,3119,Physical and engineering science technicians not elsewhere classified
17-3026,3119,Physical and engineering science technicians not elsewhere classified
17-3027,3115,Mechanical engineering technicians
17-3029,3115,Mechanical engineering technicians
17-3029,3116,Chemical engineering technicians
17-3029,3117,Mining and metallurgical technicians
17-3029,3119,Physical and engineering science technicians not elsewhere classified
17-3031,3112,Civil engineering technicians
19-1011,2131,"Biologists, botanists, zoologists and related professionals"
19-1012,2131,"Biologists, botanists, zoologists and related professionals"
19-1013,2131,"Biologists, botanists, zoologists and related professionals"
19-1013,2132,"Farming, forestry and fisheries advisers"
19-1021,2131,"Biologists, botanists, zoologists and related professionals"
19-1022,2131,"Biologists, botanists, zoologists and related professionals"
19-1023,2131,"Biologists, botanists, zoologists and related professionals"
19-1029,2131,"Biologists, botanists, zoologists and related professionals"
19-1031,2133,Environmental protection professionals
19-1032,2132,"Farming, forestry and fisheries advisers"
19-1041,2131,"Biologists, botanists, zoologists and related professionals"
19-1042,2131,"Biologists, botanists, zoologists and related professionals"
19-1099,2131,"Biologists, botanists, zoologists and related professionals"
19-2011,2111,Physicists and astronomers
19-2012,2111,Physicists and astronomers
19-2021,2112,Meteorologists
19-2031,2113,Chemists
19-2032,2113,Chemists
19-2032,2146,"Mining engineers, metallurgists and related professionals"
19-2041,2133,Environmental protection professionals
19-2042,2114,Geologists and geophysicists
19-2043,2114,Geologists and geophysicists
19-2099,211,Physical and earth science professionals
19-3011,2631,Economists
19-3022,2120,"Mathematicians, actuaries and statisticians"
19-3031,2634,Psychologists
19-3032,2634,Psychologists
19-3039,2634,Psychologists
19-3041,2632,"Sociologists, anthropologists and related professionals"
19-3051,2164,Town and traffic planners
19-3091,2632,"Sociologists, anthropologists and related professionals"
19-3092,2632,"Sociologists, anthropologists and related professionals"
19-3093,2633,"Philosophers, historians and political scientists"
19-3094,2633,"Philosophers, historians and political scientists"
19-3099,2633,"Philosophers, historians and political scientists"
19-3099,2643,"Translators, interpreters and other linguists"
19-4011,3142,Agricultural technicians
19-4021,3141,Life science technicians (excluding medical)
19-4031,3111,Chemical and physical science technicians
19-4041,3111,Chemical and physical science technicians
19-4041,3117,Mining and metallurgical technicians
19-4051,3119,Physical and engineering science technicians not elsewhere classified
19-4061,3314,"Statistical, mathematical and related associate professionals"
19-4091,3141,Life science technicians (excluding medical)
19-4092,3119,Physical and engineering science technicians not elsewhere classified
19-4093,3143,Forestry technicians
19-4099,3111,Chemical and physical science technicians
19-4099,3119,Physical and engineering science technicians not elsewhere classified
21-1011,2635,Social work and counselling professionals
21-1012,2359,Teaching professionals not elsewhere classified
21-1012,2423,Personnel and careers professionals
21-1013,2635,Social work and counselling professionals
21-1014,2635,Social work and counselling professionals
21-1015,2635,Social work and counselling professionals
21-1019,2635,Social work and counselling professionals
21-1021,2635,Social work and counselling professionals
21-1022,2635,Social work and counselling professionals
21-1023,2635,Social work and counselling professionals
21-1029,2635,Social work and counselling professionals
21-1091,2263,Environmental and occupational health and hygiene professionals
21-1092,2635,Social work and counselling professionals
21-1093,3412,Social work associate professionals
21-1094,3253,Community health workers
21-1099,2635,Social work and counselling professionals
21-2011,2636,Religious professionals
21-2021,2636,Religious professionals
21-2099,3413,Religious associate professionals
23-1011,2611,Lawyers
23-1012,3411,Legal and related associate professionals
23-1021,2612,Judges
23-1022,2619,Legal professionals not elsewhere classified
23-1023,2612,Judges
23-2011,3411,Legal and related associate professionals
23-2091,3343,Administrative and executive secretaries
23-2093,3411,Legal and related associate professionals
23-2099,3411,Legal and related associate professionals
25-1011,2310,University and higher education teachers
25-1021,2310,University and higher education teachers
25-1022,2310,University and higher education teachers
25-1031,2310,University and higher education teachers
25-1032,2310,University and higher education teachers
25-1041,2310,University and higher education teachers
25-1042,2310,University and higher education teachers
25-1043,2310,University and higher education teachers
25-1051,2310,University and higher education teachers
25-1052,2310,University and higher education teachers
25-1053,2310,University and higher education teachers
25-1054,2310,University and higher education teachers
25-1061,2310,University and higher education teachers
25-1062,2310,University and higher education teachers
25-1063,2310,University and higher education teachers
25-1064,2310,University and higher education teachers
25-1065,2310,University and higher education teachers
25-1066,2310,University and higher education teachers
25-1067,2310,University and higher education teachers
25-1069,2310,University and higher education teachers
25-1071,2310,University and higher education teachers
25-1072,2310,University and higher education teachers
25-1081,2310,University and higher education teachers
25-1082,2310,University and higher education teachers
25-1111,2310,University and higher education teachers
25-1112,2310,University and higher education teachers
25-1113,2310,University and higher education teachers
25-1121,2310,University and higher education teachers
25-1122,2310,University and higher education teachers
25-1123,2310,University and higher education teachers
25-1124,2310,University and higher education teachers
25-1125,2310,University and higher education teachers
25-1126,2310,University and higher education teachers
25-1191,2310,University and higher education teachers
25-1192,2310,University and higher education teachers
25-1193,2310,University and higher education teachers
25-1194,2320,Vocational education teachers
25-1199,2310,University and higher education teachers
25-2011,2342,Early childhood educators
25-2012,2342,Early childhood educators
25-2021,2341,Primary school teachers
25-2022,2341,Primary school teachers
25-2023,2320,Vocational education teachers
25-2031,2330,Secondary education teachers
25-2032,2320,Vocational education teachers
25-2051,2352,Special needs teachers
25-2052,2352,Special needs teachers
25-2053,2352,Special needs teachers
25-2054,2352,Special needs teachers
25-2059,2352,Special needs teachers
25-3011,2353,Other language teachers
25-3021,2353,Other language teachers
25-3021,2354,Other music teachers
25-3021,2355,Other arts teachers
25-3021,3422,"Sports coaches, instructors and officials"
25-3021,3423,Fitness and recreation instructors and program leaders
25-3021,5165,Driving instructors
25-3099,2359,Teaching professionals not elsewhere classified
25-3099,2353,Other language teachers
25-3099,2355,Other arts teachers
25-4011,2621,Archivists and curators
25-4012,2621,Archivists and curators
25-4013,3433,"Gallery, museum and library technicians"
25-4021,2622,Librarians and related information professionals
25-4031,3433,"Gallery, museum and library technicians"
25-4031,4411,Library clerks
25-9011,2622,Librarians and related information professionals
25-9021,2132,"Farming, forestry and fisheries advisers"
25-9031,2351,Education methods specialists
25-9041,5312,Teachers' aides
25-9099,2359,Teaching professionals not elsewhere classified
27-1011,2654,"Film, stage and related directors and producers"
27-1012,2651,Visual artists
27-1012,3433,"Gallery, museum and library technicians"
27-1012,7314,Potters and related workers
27-1012,7317,"Handicraft workers in wood, basketry and related materials"
27-1012,7319,Handicraft workers not elsewhere classified
27-1013,2651,Visual artists
27-1013,3118,Draughtspersons
27-1014,2166,Graphic and multimedia designers
27-1019,3435,Other artistic and cultural associate professionals
27-1021,2163,Product and garment designers
27-1022,2163,Product and garment designers
27-1023,7549,Craft and related workers not elsewhere classified
27-1024,2166,Graphic and multimedia designers
27-1025,3432,Interior designers and decorators
27-1026,3432,Interior designers and decorators
27-1027,3432,Interior designers and decorators
27-1029,2163,Product and garment designers
27-2011,2655,Actors
27-2012,2654,"Film, stage and related directors and producers"
27-2021,3421,Athletes and sports players
27-2022,3422,"Sports coaches, instructors and officials"
27-2023,3422,"Sports coaches, instructors and officials"
27-2031,2653,Dancers and choreographers
27-2032,2653,Dancers and choreographers
27-2041,2652,"Musicians, singers and composers"
27-2042,2652,"Musicians, singers and composers"
27-2099,2659,Creative and performing artists not elsewhere classified
27-2099,3435,Other artistic and cultural associate professionals
27-2099,5161,"Astrologers, fortune-tellers and related workers"
27-3011,2656,"Announcers on radio, television and other media"
27-3012,2656,"Announcers on radio, television and other media"
27-3021,2656,"Announcers on radio, television and other media"
27-3022,2642,Journalists
27-3031,2432,Public relations professionals
27-3041,2641,Authors and related writers
27-3041,2642,Journalists
27-3042,2641,Authors and related writers
27-3043,2641,Authors and related writers
27-3043,2431,Advertising and marketing professionals
27-3091,2643,"Translators, interpreters and other linguists"
27-3099,3435,Other artistic and cultural associate professionals
27-4011,3521,Broadcasting and audio-visual technicians
27-4012,3521,Broadcasting and audio-visual technicians
27-4013,3521,Broadcasting and audio-visual technicians
27-4014,3521,Broadcasting and audio-visual technicians
27-4021,3431,Photographers
27-4031,3521,Broadcasting and audio-visual technicians
27-4032,2654,"Film, stage and related directors and producers"
27-4099,3435,Other artistic and cultural associate professionals
27-4099,3521,Broadcasting and audio-visual technicians
29-1011,2269,Health professionals not elsewhere classified
29-1021,2261,Dentists
29-1022,2261,Dentists
29-1023,2261,Dentists
29-1024,2261,Dentists
29-1029,2261,Dentists
29-1031,2265,Dieticians and nutritionists
29-1041,2267,Optometrists and ophthalmic opticians
29-1051,2262,Pharmacists
29-1061,2212,Specialist medical practitioners 
29-1062,2211,Generalist medical practitioners 
29-1063,2211,Generalist medical practitioners 
29-1064,2212,Specialist medical practitioners 
29-1065,2211,Generalist medical practitioners 
29-1066,2212,Specialist medical practitioners 
29-1067,2212,Specialist medical practitioners 
29-1069,2211,Generalist medical practitioners 
29-1069,2212,Specialist medical practitioners 
29-1071,2240,Paramedical practitioners
29-1081,2269,Health professionals not elsewhere classified
29-1122,2269,Health professionals not elsewhere classified
29-1123,2264,Physiotherapists 
29-1124,3211,Medical imaging and therapeutic equipment technicians
29-1125,2269,Health professionals not elsewhere classified
29-1126,3259,Health associate professionals not elsewhere classified
29-1127,2266,Audiologists and speech therapists
29-1128,2264,Physiotherapists 
29-1129,2269,Health professionals not elsewhere classified
29-1131,2250,Veterinarians
29-1141,2221,Nursing professionals
29-1151,2221,Nursing professionals
29-1161,2222,Midwifery professionals
29-1171,2221,Nursing professionals
29-1181,2266,Audiologists and speech therapists
29-1199,2230,Traditional and complementary medicine professionals
29-1199,2269,Health professionals not elsewhere classified
29-1199,3255,Physiotherapy technicians and assistants
29-2011,3212,Medical and pathology laboratory technicians 
29-2012,3212,Medical and pathology laboratory technicians 
29-2021,3251,Dental assistants and therapists
29-2031,3259,Health associate professionals not elsewhere classified
29-2032,3211,Medical imaging and therapeutic equipment technicians
29-2033,3211,Medical imaging and therapeutic equipment technicians
29-2034,3211,Medical imaging and therapeutic equipment technicians
29-2035,3211,Medical imaging and therapeutic equipment technicians
29-2041,3258,Ambulance workers
29-2051,3259,Health associate professionals not elsewhere classified
29-2052,3213,Pharmaceutical technicians and assistants
29-2053,3259,Health associate professionals not elsewhere classified
29-2054,3259,Health associate professionals not elsewhere classified
29-2055,3259,Health associate professionals not elsewhere classified
29-2056,3240,Veterinary technicians and assistants
29-2057,3256,Medical assistants
29-2061,3221,Nursing associate professionals
29-2071,3252,Medical records and health information technicians
29-2081,3254,Dispensing opticians
29-2091,3214,Medical and dental prosthetic technicians
29-2092,3214,Medical and dental prosthetic technicians
29-2099,3259,Health associate professionals not elsewhere classified
29-9011,2263,Environmental and occupational health and hygiene professionals
29-9012,3257,Environmental and occupational health inspectors and associates
29-9091,3423,Fitness and recreation instructors and program leaders
29-9092,2269,Health professionals not elsewhere classified
29-9099,3222,Midwifery associate professionals
29-9099,3230,Traditional and complementary medicine associate professionals
29-9099,3259,Health associate professionals not elsewhere classified
31-1011,5322,Home-based personal care workers
31-1013,5321,Health care assistants
31-1014,5321,Health care assistants
31-1015,5329,Personal care workers in health services not elsewhere classified
31-2011,3259,Health associate professionals not elsewhere classified
